institutionCode,collectionCode,locationID,recordedBy,verbatimEventDate,continent,country,stateProvince,county,fieldNumber,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,stratGroup,stratFormation,stratMember,stratBed,bioZone,lithology
CASG,Fossil,71535,,,North America,USA,California,Orange,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71536,,,North America,Mexico,,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71537,,,,Austria,Burgenland,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71540,Harold Hannibal,8/1/1911,North America,USA,Washington,Lewis,NP 68,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,Cowlitz,,,,sandstone and tuff marl bluffs
CASG,Fossil,71541,,,North America,USA,California,Ventura,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71545,,,North America,USA,California,Monterey,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Vaqueros,,,,
CASG,Fossil,71546,,,North America,USA,California,Santa Clara,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Temblor,,,,
CASG,Fossil,71547,,,North America,USA,California,Santa Clara,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Monterey,,,,
CASG,Fossil,71553,,,North America,USA,California,,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,,,,,
CASG,Fossil,71557,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,Palos Verdes ,,,,
CASG,Fossil,71558,,,North America,USA,California,Ventura,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,Las Posas,,,,
CASG,Fossil,71561,Hubert Gregory Schenck | Hake,,North America,USA,California,Santa Barbara,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,71565,,,North America,USA,California,,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Jacalitos,,,,
CASG,Fossil,71567,,,North America,USA,California,Orange,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Temblor,,,,
CASG,Fossil,71568,,,North America,USA,California,Monterey,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71570,,,North America,USA,California,Santa Clara,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Temblor,,,,
CASG,Fossil,71571,,,North America,USA,Oregon,,,Cenozoic,Cenozoic,Neogene,Quaternary,Pliocene,Pleistocene,,,,Elk River,,,,
CASG,Fossil,71574,,,North America,USA,California,Ventura,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,,,,,
CASG,Fossil,71575,,,North America,USA,unknown,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71576,,,North America,USA,California,San Luis Obispo,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Santa Margarita,,,,
CASG,Fossil,71578,,,North America,USA,California,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71579,,,North America,USA,California,LA or Ventura,ca54,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,71580,,,North America,USA,Alaska,,ca54,Cenozoic,Cenozoic,Neogene,Quaternary,Pliocene,Pleistocene,,,,,,,,
CASG,Fossil,71584,,,North America,USA,California,Santa Barbara,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Fernando,,,,
CASG,Fossil,71586,,,,Belgium,,,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Scaldisien,,,,
CASG,Fossil,71588,,,North America,USA,California,Los Angeles,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,71589,,,North America,USA,Washington,Grays Harbor,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71594,,,North America,USA,California,Humboldt,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,,,,,
CASG,Fossil,71595,,,North America,USA,California,San Diego,,Cenozoic,Cenozoic,Quaternary,Quaternary,Pleistocene,Pleistocene,,,,Palos Verdes ,,,,
CASG,Fossil,71596,Ralph Arnold | GH Ashley,,North America,USA,California,Santa Cruz,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Merced,,,,
CASG,Fossil,71597,,,South America,Ecuador,Esmeralda,,21105,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Angostura,,,,
CASG,Fossil,71598,,,South America,Ecuador,Guayas,,1464,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Daule,,,,
CASG,Fossil,71601,,,South America,Ecuador,Guayas,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Daule,,,,
CASG,Fossil,71603,,,South America,Brazil,,,,Paleozoic,Paleozoic,Permian,Permian,,,,,,Irati,,,,
CASG,Fossil,71604,,,South America,Brazil,,,,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,,,,Santana,,,,
CASG,Fossil,71606,,,,Japan,,,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Hosoya,,,,
CASG,Fossil,71607,,,North America,USA,,Kern,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Temblor,,,,
CASG,Fossil,71608,Harold Hannibal,8/11/1912,North America,USA,Oregon,Clatsop,NP 273,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,,,,Astoria,,,,ashy shale
CASG,Fossil,71610,Harold Hannibal,1912,North America,USA,Oregon,Lincoln ,NP 16,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,,,,Yaquina,,,,shale
CASG,Fossil,71611,Harold Hannibal,6/25/1912,North America,USA,Washington,Mason,NP 207,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,,,,Metchosin,,,,tuffaceous shale
CASG,Fossil,71613,,,,Italy,,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71621,,,North America,USA,California,Orange,,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,,,,Vaqueros,,,,
CASG,Fossil,71623,RB Moran,,North America,USA,California,San Luis Obispo,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Vaqueros,,,,
CASG,Fossil,71625,,,North America,USA,California,Santa Barbara,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Vaqueros,,,,
CASG,Fossil,71627,,,North America,USA,California,Monterey,,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,,,,,,,,
CASG,Fossil,71628,,,North America,USA,New York,,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,,,,,
CASG,Fossil,71629,,,,Timor,,,,,,Permian,Permian,,,,,,,,,,
CASG,Fossil,71630,,,North America,USA,California,Plumas,,Mesozoic,Mesozoic,Jurassic,Jurassic,,,,,,Mormon,,,,
CASG,Fossil,71631,,,North America,USA,Oregon,Lane,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Oligocene,,,,,,,,
CASG,Fossil,71639,,,North America,Canada,New Brunswick,Albert,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,,,,,
CASG,Fossil,71641,Al Levitan,9 Oct 81,North America,USA,Pennsylvania,Tioga,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,Catskill,,,,
CASG,Fossil,71642,,,,Scotland,,,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,,,,,
CASG,Fossil,71647,,,,Scotland,,,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,,,,,
CASG,Fossil,71650,Al Levitan,,North America,USA,New York,Delaware,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,Genesee,,,,
CASG,Fossil,71651,Al Levitan,,North America,USA,New York,Schoharie,,Paleozoic,Paleozoic,Devonian,Devonian,,,,,,Onondaga,,,,
CASG,Fossil,71652,,,South America,Peru,,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Pebas,,,,
CASG,Fossil,71653,Clarence Schuchman,,North America,USA,California,Shasta,CS 1001,Mesozoic,Mesozoic,Cretaceous,Cretaceous,Early,Early,Albian,Albian,,,,,,
CASG,Fossil,71655,,,North America,USA,California,Colusa,,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,,,,,,,,
CASG,Fossil,71657,,,,New Zealand,Canterbury,,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,White Rock,,,,
CASG,Fossil,71658,,,North America,USA,California,San Mateo,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Vaqueros,,,,
CASG,Fossil,71704,,,,Japan,,,,Cenozoic,Cenozoic,Paleogene,Paleogene,Oligocene,Oligocene,,,,Asagaian,,,,
CASG,Fossil,71705,,,South America,Brazil,Rio Grande do Norte,,,Mesozoic,Mesozoic,Cretaceous,Cretaceous,,,Turonian,Turonian,,,,,,
CASG,Fossil,71706,Beede | Penn,"fall, 1930",North America,USA,New Mexico,Otero,,Paleozoic,Paleozoic,Pennsylvanian,Pennsylvanian,,,,,,Abo,,,,
CASG,Fossil,71707,Beede | Penn,"fall, 1930",North America,USA,New Mexico,Otero,,Paleozoic,Paleozoic,Pennsylvanian,Pennsylvanian,,,,,,Abo,,,,
CASG,Fossil,71708,,,North America,USA,Illinois,,,Paleozoic,Paleozoic,Carboniferous,Carboniferous,,,,,,,,,,
CASG,Fossil,71709,,,North America,USA,Oklahoma,,,Paleozoic,Paleozoic,Carboniferous,Carboniferous,,,,,,Wewoka,,,,
CASG,Fossil,71710,,,North America,USA,Iowa,Guthrie,,Paleozoic,Paleozoic,Carboniferous,Carboniferous,,,,,,,,,,
CASG,Fossil,71711,,,North America,USA,Oklahoma,,,Paleozoic,Paleozoic,Carboniferous,Carboniferous,,,,,,Boggy,,,,
CASG,Fossil,71712,,,North America,USA,Texas,Young,,Paleozoic,Paleozoic,Carboniferous,Carboniferous,,,,,,Graham,,,,
CASG,Fossil,71714,,,North America,USA,Oregon,Grant,,Mesozoic,Mesozoic,Triassic,Triassic,,,,,,,,,,
CASG,Fossil,71715,,,North America,USA,Alabama,,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,Claiborne,,,,
CASG,Fossil,71716,,,,France,,,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,,,,,
CASG,Fossil,71717,,,,France,,,,Cenozoic,Cenozoic,Paleogene,Paleogene,Eocene,Eocene,,,,,,,,
CASG,Fossil,71718,,,,Italy,,,1964,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Plaisancian,,,,
CASG,Fossil,71719,,,North America,USA,Florida,Leon,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,,,,,
CASG,Fossil,71720,RL Lupher,,North America,USA,Oregon,Grant,,Mesozoic,Mesozoic,Triassic,Triassic,,,,,,Karnic,,,,
CASG,Fossil,71723,Thomas F Thompson,,North America,Panama,Colon,,GA,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Miocene,,,,Gatun,,,,
CASG,Fossil,71725,,,North America,USA,California,Ventura,,Cenozoic,Cenozoic,Neogene,Neogene,Pliocene,Pliocene,,,,Pico,,,,
CASG,Fossil,71729,,,North America,USA,California,Santa Cruz,,Cenozoic,Cenozoic,Neogene,Neogene,Miocene,Pliocene,,,,Purisima,,,,
CASG,Fossil,71730,,,North America,USA,Alaska,,,Cenozoic,Cenozoic,Quaternary,Quaternary,Recent,Recent,,,,,,,,
